Disease,Description
Fungal infection,"A fungal infection occurs when fungi overgrow on the skin, nails, or body folds. It commonly affects warm, moist areas and causes itching, redness, and mild scaling. Fungal infections are very common and respond well to antifungal creams or medication within a few weeks."
Allergy,"An allergy is your immune system's response to a substance it considers harmful, such as pollen, dust, certain foods, or pet dander. Symptoms like sneezing, itching, or a runny nose are uncomfortable but manageable. With the right treatment and a few lifestyle adjustments, most people with allergies live completely normal lives."
GERD,"GERD (Gastroesophageal Reflux Disease) is a common digestive condition where stomach acid occasionally flows back into the food pipe, causing a burning sensation in the chest or a sour taste in the mouth. It is very treatable ÃÂ¢ÃÂÃÂ simple dietary changes, avoiding late meals, and medication can bring lasting relief for most people."
Chronic cholestasis,"Chronic cholestasis is a liver condition where bile flow slows down over time, leading to symptoms like itching, mild yellowing of the skin, and fatigue. It is a manageable condition with regular medical follow-up and appropriate treatment to keep the liver healthy."
Drug Reaction,A drug reaction is your body's way of signalling that a particular medication does not suit it. Symptoms are usually mild ÃÂ¢ÃÂÃÂ such as a skin rash or itching ÃÂ¢ÃÂÃÂ and resolve once the medication is stopped. Always inform your doctor about any unusual symptoms after starting a new medicine so they can find a better alternative for you.
Peptic ulcer disease,"Peptic ulcer disease involves small sores that form in the lining of the stomach or upper intestine, often causing a burning or gnawing pain in the abdomen. The good news is that most ulcers heal completely with a short course of medication, and simple dietary changes can help ease discomfort during recovery."
AIDS,"AIDS is a condition that develops from long-term untreated HIV infection, affecting the body's immune response. With modern antiretroviral therapy, people living with HIV can manage their health effectively and lead long, fulfilling lives. Early diagnosis and consistent treatment make a significant difference."
Diabetes,"Diabetes is a common long-term condition where the body has difficulty regulating blood sugar levels. With the right combination of medication, a balanced diet, regular physical activity, and routine check-ups, most people with diabetes manage their condition well and live healthy, active lives."
Gastroenteritis,"Gastroenteritis, commonly known as a stomach bug, is a short-term infection of the stomach and intestines that causes nausea, vomiting, diarrhoea, and stomach cramps. It usually passes on its own within 2-3 days. Staying well hydrated and resting are the most important steps to feeling better quickly."
Bronchial Asthma,"Bronchial asthma is a common respiratory condition where the airways become temporarily sensitive, causing episodes of wheezing, chest tightness, or shortness of breath. It is very well managed with modern inhalers and a simple action plan. Most people with asthma live active, unrestricted lives with the right treatment."
