Disease,Medication
Fungal infection,"['Clotrimazole (topical antifungal cream)', 'Terbinafine (oral or topical)', 'Fluconazole (oral antifungal)', 'Ketoconazole (shampoo or cream)', 'Miconazole (topical)']"
Allergy,"['Antihistamines (e.g. cetirizine, loratadine)', 'Nasal corticosteroid sprays (e.g. fluticasone)', 'Decongestants (e.g. pseudoephedrine)', 'Epinephrine auto-injector (for severe reactions)', 'Allergen immunotherapy (long-term desensitisation)']"
GERD,"['Proton pump inhibitors (e.g. omeprazole, pantoprazole)', 'H2 blockers (e.g. ranitidine, famotidine)', 'Antacids (e.g. aluminium hydroxide, calcium carbonate)', 'Prokinetics (e.g. domperidone)', 'Antibiotics (e.g. amoxicillin + clarithromycin if H. pylori present)']"
Chronic cholestasis,"['Ursodeoxycholic acid (to improve bile flow)', 'Cholestyramine (to relieve itching)', 'Rifampicin (for persistent itch)', 'Fat-soluble vitamin supplements (A, D, E, K)', 'Corticosteroids (in selected cases under specialist guidance)']"
Drug Reaction,"['Antihistamines (e.g. cetirizine, diphenhydramine) for mild rashes', 'Corticosteroids (e.g. prednisolone) for moderate reactions', 'Epinephrine injection (for severe anaphylactic reactions)', 'Topical corticosteroid cream for localised skin reactions', 'Discontinuation of the offending drug (essential first step)']"
Peptic ulcer disease,"['Proton pump inhibitors (e.g. omeprazole, lansoprazole)', 'H2 blockers (e.g. famotidine)', 'Antibiotics (e.g. amoxicillin + clarithromycin for H. pylori eradication)', 'Antacids for symptomatic relief', 'Sucralfate (cytoprotective agent to coat the ulcer)']"
AIDS,"['Antiretroviral therapy (ART) — combination of drugs from multiple classes', 'Nucleoside reverse transcriptase inhibitors (e.g. tenofovir, emtricitabine)', 'Integrase inhibitors (e.g. dolutegravir)', 'Protease inhibitors (e.g. ritonavir)', 'Prophylactic antibiotics to prevent opportunistic infections']"
Diabetes,"['Metformin (first-line oral medication for type 2 diabetes)', 'Insulin (for type 1 diabetes and advanced type 2)', 'SGLT-2 inhibitors (e.g. empagliflozin)', 'GLP-1 receptor agonists (e.g. semaglutide)', 'DPP-4 inhibitors (e.g. sitagliptin)']"
Gastroenteritis,"['Oral rehydration solution (ORS) — the most important treatment', 'Antiemetics (e.g. ondansetron) for persistent vomiting', 'Antidiarrhoeal agents (e.g. loperamide) in mild cases', 'Antibiotics (only if bacterial cause is confirmed)', 'Probiotics to support gut flora recovery']"
Bronchial Asthma,"['Short-acting bronchodilators (e.g. salbutamol inhaler) for quick relief', 'Inhaled corticosteroids (e.g. beclomethasone) for daily prevention', 'Long-acting bronchodilators (e.g. salmeterol) for maintenance', 'Leukotriene receptor antagonists (e.g. montelukast)', 'Oral corticosteroids (e.g. prednisolone) for acute exacerbations']"
Hypertension,"['ACE inhibitors (e.g. ramipril, enalapril)', 'Calcium channel blockers (e.g. amlodipine)', 'Thiazide diuretics (e.g. hydrochlorothiazide)', 'Beta-blockers (e.g. atenolol, bisoprolol)', 'Angiotensin receptor blockers (e.g. losartan)']"
Migraine,"['Triptans (e.g. sumatriptan) for acute attacks', 'NSAIDs (e.g. ibuprofen, naproxen) for mild to moderate attacks', 'Paracetamol with antiemetic (e.g. metoclopramide)', 'Preventive medications (e.g. propranolol, topiramate, amitriptyline)', 'CGRP antagonists (e.g. erenumab) for chronic migraine']"
Cervical spondylosis,"['NSAIDs (e.g. ibuprofen, diclofenac) for pain and inflammation', 'Muscle relaxants (e.g. cyclobenzaprine, methocarbamol)', 'Paracetamol for mild pain relief', 'Topical analgesic gels (e.g. diclofenac gel)', 'Corticosteroid injections (for nerve root compression under specialist guidance)']"
Paralysis (brain hemorrhage),"['Antihypertensive medications to control blood pressure', 'Anticoagulants or antiplatelet drugs (e.g. aspirin, clopidogrel) as directed by specialist', 'Anticonvulsants (e.g. levetiracetam) if seizures occur', 'Spasticity medications (e.g. baclofen, tizanidine)', 'Physiotherapy and occupational therapy as core components of rehabilitation']"
Jaundice,"['Treatment of the underlying cause (antiviral, antibiotics, or other as appropriate)', 'Ursodeoxycholic acid (for cholestatic jaundice)', 'Antihistamines or cholestyramine for itch relief', 'IV fluids if dehydration is present', 'Vitamin K (if clotting is affected due to liver dysfunction)']"
Malaria,"['Artemisinin-based combination therapy (ACT) — first-line treatment', 'Chloroquine (for chloroquine-sensitive malaria)', 'Primaquine (to prevent relapse in P. vivax malaria)', 'Paracetamol or ibuprofen for fever and pain', 'IV artesunate (for severe malaria in hospital)']"
Chicken pox,"['Aciclovir (antiviral, most effective when started within 24 hours of rash onset)', 'Paracetamol for fever and discomfort (avoid aspirin in children)', 'Calamine lotion or antihistamine cream for itch relief', 'Oral antihistamines (e.g. chlorphenamine) for severe itching', 'Antibiotics (only if bacterial skin infection develops)']"
Dengue,"['Paracetamol for fever and pain (avoid aspirin and ibuprofen)', 'Oral rehydration solution (ORS) to maintain hydration', 'IV fluids (in hospital for severe dengue)', 'Platelet transfusion (only in cases of severe bleeding under medical supervision)', 'Close monitoring of platelet count and haematocrit']"
