Disease,workout
Fungal infection,Keep affected area dry and clean
Fungal infection,Avoid excessive sweating
Fungal infection,Wear loose cotton clothes
Allergy,Avoid exposure to allergens
Allergy,Practice breathing exercises
Allergy,Keep surroundings clean
GERD,Avoid lying down after meals
GERD,Maintain upright posture after eating
GERD,Practice light walking
Chronic cholestasis,Avoid heavy physical strain
Chronic cholestasis,Maintain light activity
Drug Reaction,Rest and avoid triggers
Drug Reaction,Monitor symptoms closely
Peptic ulcer disease,Avoid heavy exercise after meals
Peptic ulcer disease,Practice stress management
AIDS,Maintain light physical activity
AIDS,Avoid overexertion
Diabetes,Engage in regular walking
Diabetes,Monitor activity levels
Diabetes,Maintain healthy weight
Gastroenteritis,Take adequate rest
Gastroenteritis,Avoid heavy physical activity
Bronchial Asthma,Avoid dusty environments
Bronchial Asthma,Practice breathing exercises
Bronchial Asthma,Avoid cold air exposure
Hypertension,Practice daily walking
Hypertension,Reduce stress through meditation
Hypertension,Avoid overexertion
Migraine,Avoid bright lights and loud noise
Migraine,Maintain proper sleep schedule
Migraine,Practice relaxation techniques
Cervical spondylosis,Maintain correct posture
Cervical spondylosis,Do neck exercises
Cervical spondylosis,Avoid prolonged screen time
Paralysis (brain hemorrhage),Follow physiotherapy
Paralysis (brain hemorrhage),Avoid strain
Paralysis (brain hemorrhage,Assist movement with support
Jaundice,Take adequate rest
Jaundice,Avoid physical exertion
Malaria,Take proper rest
Malaria,Avoid strenuous activity
Chicken pox,Avoid scratching
Chicken pox,Rest well
Dengue,Take complete bed rest
Dengue,Monitor health regularly
Typhoid,Take adequate rest
Typhoid,Avoid heavy activity
Hepatitis A,Take proper rest
Hepatitis A,Avoid strenuous activity
Hepatitis B,Maintain light activity
Hepatitis B,Avoid fatigue
Hepatitis C,Take rest and avoid strain
Hepatitis D,Avoid heavy physical work
Hepatitis E,Take proper rest
Alcoholic hepatitis,Completely avoid alcohol
Alcoholic hepatitis,Maintain light activity
Tuberculosis,Avoid crowded places
Tuberculosis,Take adequate rest
Common Cold,Take steam inhalation
Common Cold,Rest well
Pneumonia,Take complete rest
Pneumonia,Practice breathing exercises
Dimorphic hemmorhoids(piles),Avoid prolonged sitting
Dimorphic hemmorhoids(piles,Do light walking
Heart attack,Follow cardiac rehabilitation
Heart attack,Avoid heavy physical stress
Varicose veins,Elevate legs while resting
Varicose veins,Avoid standing for long
Hypothyroidism,Exercise regularly
Hypothyroidism,Maintain daily routine
Hyperthyroidism,Avoid stress
Hyperthyroidism,Practice relaxation
Hypoglycemia,Avoid skipping meals
Hypoglycemia,Monitor physical activity
Osteoarthritis,Do low-impact exercises
Osteoarthritis,Avoid joint strain
Arthritis,Practice regular movement
Arthritis,Use joint-friendly exercises
(vertigo) Paroxysmal Positional Vertigo,Avoid sudden head movement
(vertigo) Paroxysmal Positional Vertigo,Move slowly
Acne,Maintain skin hygiene
Acne,Avoid touching face frequently
Urinary tract infection,Maintain hygiene
Urinary tract infection,Do not hold urine
Psoriasis,Keep skin moisturized
Psoriasis,Manage stress
Impetigo,Avoid touching infected area
Impetigo,Maintain hygiene
